"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17880385641560332,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	⁨أكثر من 10 سنين، ولسه بيكون عندي توتر… وهذا طبيعي.

قبل ما أطلع على أي مسرح…سواء إيفينت مدعو عليه، أو حتى في دوراتنا اللي بنسويها…

بيمر علي لحظات توتر، قلق، نبض أعلى من المعتاد، وصوت جواي بيهمس: هل رح تمشي زي ما بدي؟

زمان كنت بفكر إن إذا عندي ثقة ما رح تجيني هاي المشاعر ... بس الحقيقة الثقة مش إنك ما تتوتر… الثقة إنك ما تتجمّد لما تتوتر.

هاد الشعور نفسه اللي بيجي لأي حدا في مواقف مختلفة زي
قبل ما يحكي رأيه قدام الناس، أو اجتماع مهم، أو رسالة بدك تبعتها و مأجلها من زمان، أو خطوة لشي جديد ...

واللي تعلّمته مع الوقت، إنك مش لازم تكون مرتاح عشان تكون جاهز، ومش لازم تسيطر على هاي المشاعر… عشان تتحرّك.

أشياء بسيطة ممكن تسويها لما يجيك هاد الشعور وانا دايما بسويها قبل أي دورة

*خذ نفس عميق… وطوّل الزفير
*أحكي لحالك: أنا جاهز كفاية… حتى لو مش كامل
*ركز على أول دقيقة بس… مش كل الصورة
*وأرجع لهدفك، وذكر نفسك أنت ليش هون، ليش بتاخد هاي الخطوة

واعرف إنك مش لحالك كلنا بيصير معنا هيك، والمرة الجاية جرب هاي الخطوات و رح تفرق معك بإذن الله.

هاي الصورة كانت في تيدكس عمان في المدرج الرماني قبل ما أطلع على المسرح قدام أكثر من 3000 شخص.⁩⁩",0,"04/28/2026 08:58",https://www.instagram.com/p/DXrliVWCGic/,"IG image",,Lifetime,49306,27608,543,6,1,11,41
18143127184499398,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	استمتع بانجازاتك قبل ما تدور على هدف جديد⁩",0,"04/29/2026 09:03",https://www.instagram.com/reel/DXuLcQjCAds/,"IG reel",,Lifetime,33972,21739,1042,141,8,14,209
17853743817659701,17841401519683378,moataz_mashal,"Moataz Mashal","⁨من أعظم الأشياء اللي ممكن تمنحها للأشخاص المهمين بحياتك إنك تقدرهم و تحسسهم بمكانتهم عندك 🤍🌹

تاج شخصك المفضل او شارك الفيديو معه 🤗",10,"04/30/2026 09:12",https://www.instagram.com/reel/DXwxYfsoW5t/,"IG reel",,Lifetime,77347,47427,1356,1402,7,42,356
17911916037379217,17841401519683378,moataz_mashal,"Moataz Mashal","كل شخص فينا عنده أكثر من لماذا بداخله، ""لماذا"" بدك شغل أفضل، ""لماذا"" بدك جسم أحسن، ""لماذا"" بدك أطفال أكثر، ""لماذا"" بدك مصاري أكتر، ""لماذا"" بدك تنجح في شغلة معينة... 

ولكن كل هدول في ""لماذا""  واحدة رئيسية بتحركهم و بتقودك و هاي هي ال ""لماذا"" اللي لازم تعرفها عشان تكون مرتاح و تمشي في الطريق الصحيح.

شاهد الخطاب كامل على اليوتيوب قناة @ted ، الرابط بالبايو",28,"05/01/2026 09:21",https://www.instagram.com/reel/DXzXNmbzoCk/,"IG reel",,Lifetime,36950,23867,963,136,13,7,213
18135820243535567,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	بتعرف اجابة السؤال اللي بآخر سلايد؟⁩",0,"05/02/2026 09:05",https://www.instagram.com/p/DX16RURCHyc/,"IG carousel",,Lifetime,83303,29993,681,276,2,16,409
18409738255179338,17841401519683378,moataz_mashal,"Moataz Mashal","ما تفكر كتير اكتب اول شغلة اجت على بالك و شاركنا اياها في التعليقات “شغلة واحدة بس عن نفسك بعيد عن شغلك؟ “",0,"05/03/2026 08:57",https://www.instagram.com/reel/DX4d84TIYcp/,"IG reel",,Lifetime,56418,37938,1595,429,37,29,411
18065470238354179,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	⁨هم عن جد سابقين ولا أنت اللي بدك تكون في سباق مش لألك؟!⁩⁩",74,"05/04/2026 08:57",https://www.instagram.com/reel/DX7CeszIZ-z/,"IG reel",,Lifetime,60020,40974,1504,260,24,18,342
18064079069502646,17841401519683378,moataz_mashal,"Moataz Mashal","في فترة من حياتي كنت مفكر إن القوة يعني تضل مكمل…
ترد على الكل، تتحمل، تنجز، وتبين دايماً إنك تمام.

كنت بعطي من وقتي، من طاقتي، من هدوئي… وأحيانًا من قلبي.
و ما كنت بلاقي لحظة ابعد فيها شوي عن الصوت، عن الركض، عن الرسائل، عن كل شي بيخليني مشغول.

لحد ما فهمت إن الإنسان ممكن يكون محاط بكل شي، وبنفس الوقت بعيد عن نفسه.

فصرت أتعلم آخذ لحظات بسيطة إلي، أقعد في هدوء، أتنفّس، أسمع اللي جوّاتي ، وأذكر حالي إني مش لازم أكون قوي طول الوقت.

في لحظات الصمت هاي فهمت أشياء كثيرة عني…
فهمت إني ما كنت محتاج أكون متاح دائمًا، ولا محتاج أرضي الكل، كنت محتاج ما أخسر حالي وأنا بحاول ما أزعل حدا.

يمكن الحياة ما بتعطينا دايمًا مساحة نرتاح، بس إحنا لازم نتعلم نخلق هاي المساحة.

لأن أحيانًا، أبسط لحظة هدوء هي اللي بتشحن طاقتك مرة تانيه لتقدر تكمل.",0,"05/05/2026 09:05",https://www.instagram.com/p/DX9orLyCtfr/,"IG image",,Lifetime,102508,55684,1597,112,21,42,408
18084414857090245,17841401519683378,moataz_mashal,"Moataz Mashal","بتعاني من التشتت!

 اسمع الفيديو للآخر لتعرف كيف ممكن تتخلص منه بطريقة سهلة⁩",92,"05/06/2026 09:00",https://www.instagram.com/reel/DYAM0ZKTnie/,"IG reel",,Lifetime,38360,24157,1252,426,19,23,353
18118372495663603,17841401519683378,moataz_mashal,"Moataz Mashal","حين تستطيع أن تأخذ ما ليس لك… ولا تأخذ.

حين تستطيع أن تكذب وتنقذ صورتك… ولا تكذب.

حين تستطيع أن تستغل ضعف أحد… ولا تستغل.

حين تستطيع أن تظلم … وتختار ألا تظلم..

ليست النزاهة أن تبتعد عن الخطأ لأن الطريق مراقب، بل أن تبتعد عنه حتى لو كان الطريق خالياً

الضمير الحقيقي هو أن تكون أنت الشاهد على نفسك…

حتى عندما لا يشهد عليك أحد.⁩",3,"05/07/2026 09:00",https://www.instagram.com/reel/DYCxoWdBsjn/,"IG reel",,Lifetime,94937,49523,1518,132,3,24,260
